id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade
comentario_231247,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1,1
comentario_515231,"Logo se vê que o Daniel nada mais é do que um entusiasta, que quando está na frente de quem entende do que fala… ele fica constrangido…Como meu avô dizia: todo dia acorda um trouxa e um esperto…Aliás quem é, e o que faz esse Daniel? Teórico conspiracionista?",0,1
comentario_1822779,"Se o caminhão estiver em alta velocidade, não vai adiantar nada, isso é física!",0,0
comentario_1875415,8 pra cima a digissima vai buscar o cara em casa,1,0
comentario_2889212,"o velho não é burro, ele provavelmente sabe oq está acontecendo e quer pegar novinha inconsequentemente",1,0
comentario_1401212,Com certeza ! Deus abençoe por vc ver o que é certo lindo e muito feminino,1,0
comentario_329031,Será sim 😂😂😂Dezenas de milhões!Que jumento kk,0,1
comentario_996533,adquiri  esse ebook .. muito  bom mesmo rsrs vlw fera,0,0
comentario_97096,"Essa  Mulher tem  espírito   capacho  ,    quer  viver  debaixo  das  patas   assassinas   de  homens  da  caverna !  Que  é   isso !!",0,1
comentario_1621535,Além de Chad O cara ainda tem que ser mago pra adivinhar o que ela quer ouvir 🌚Essa “nobre” mediana está mesmo precisando de terapia.,1,1
comentario_2288686,"O objetivo não é evitar o desamparo das crianças. É gastar menos com auxílios governamentais, terceirizando a lasqueira para os homens.",0,0
comentario_359056,Muçulmano não acredita que Jesus foi crucificado e que é filho de Deus. Não estão no caminho certo de jeito nenhum,0,1
comentario_2148642,Usou e largou fez de coitada mimada,1,1
comentario_508268,Cortou a parte dele pedindo o dinheiro dizendo que o pneu furou 😂,0,0
comentario_761820,e dai o homem pode estourar a coluna?,0,0
comentario_1357202,"Se ela não fizer o mesmo por ele, o homem deverá deixá-la imediatamente.",0,0
comentario_694035,.9658  vai sustentar msol gadinho de valor kkk,1,1
comentario_1611505,Amizades e amigas também não tenha ninguém para ter ou ser por mais que é difícil,0,0
comentario_2337390,"Tem que dar valor no que crecem maravilhoso  o sr da Havan 😂😂😂 vao bolaonariatas .O pt não  ganhou as eleições  ai so por isso nao esta sendo ajudados por eles ,porque o exercito  era pra ter ajudado ,a recuperar  so que nao deixaram",0,1
comentario_1792128,Que ter direitos vão  trabalhar na carvoeira ou no garimpo  ou melhor  vai abrir uma cisterna uma fossa ai sim 👍,0,0
comentario_85608,Então o Bonito é mais fácil ainda. Eu sou Prova viva tenho várias declarações Femininas no meu tempo de adolescente indo pra Jovem adulto. E já fiquei com uma mina sem dizer uma cantada ou pagar alguma coisa.,1,0
comentario_2999482,"Agora o investimento dela vocês querem, né?!? rsrsrs",0,0
comentario_567456,"Se isso não for o próprio, é um dos tipos do número da besta que já está dominando a mente da humanidade!",0,1
comentario_1643929,"Mulher tem obrigação de trabalhar, assim como o homem. Ninguém tem obrigação de sustentar ninguém.",0,0
comentario_1353753,"Tou na paz, faz tempo 🙌Don se identifica cmg",0,0
comentario_259446,"Cara, de verdade. Adoro a bianquinha, mas o TANTO que ela defendeu casas de apostas aqui chegou a me despertar raiva, o Arthur deixou claro por ""A"" mais ""B"" que, isso está gerando um enorme problema para o brasileiro, e via de regra o Brasil médio, é POBRE. A linha argumentação dela toda foi com base em duas coisas:1° Liberdade.  Arthur conseguiu aprofundar o tópico  suficientemente para  entender o quanto a famigerada ""liberdade irrestrita"", não existe em sociedade, uma vez que se ela (bianquinha), percebe a complexidade da subjetivação do que é a liberdade em sociedade, ela parte para a segunda linha de defesa;2°Impossibilidade. Basicamente quando a própria só se baseou no seguinte "" A, mas tentaram tirar a Blake 40 vezes e não conseguiram, a Internet é complicada Arthur"", quanto a esse argumento nem preciso dizer muito, se o Brasil hoje é um dos maiores em homicídios e começa a criar medidas públicas para resolver esse problema social, mesmo que chegue quase a zero, sempre haverá algum homicídio, então, pela mesma lógica, se não há como impedir um problema em absoluto, para que tentar né. Resumindo, realmente me revolta divulgadores defendendo essas merdas que para o BRASILEIRO, é absolutamente danoso.Obs: Nem mencionei o momento em que ela tentou defender casa de aposta com o raciocínio de que álcool também é danoso e é legalizado, o próprio Arthur disse ""Dois erros não fazem um acerto""PS: te adoro bianquinha.",0,1
comentario_2780441,Só tem aparênciaNem toda gp faz isso,1,0
comentario_2062341,50 mil é pouco. Falta ainda o boicote a esse tipinho de empresa!,0,1
comentario_1625491,"Pode acontecer isso ai sim, com muitas mais possibilidades se o convidado não fazer tudo o que ela quer ou não fazer feliz a dama porque o tamanho não é G -GG .",0,0
comentario_611711,"Muitos podem alegar que isso é culpa dos próprios redpills pelas coisas que falam MAS, mesmo que eles não dissessem NADA, ainda assim taxariam os homens de misóginos, pois até nossa respiração é vista assim...",1,1
comentario_540555,esse cara um picareta prega mas nao faz o que prega,0,1
comentario_290464,EU SOU SOLTEIRA E NÃO TENHO FILHOS COMO DIZIA A MINHA TIA LUCENA  ANTES SO DO QUE MAL ACOMPANHADA  SOU MUITO GRATA ❤ 👍,0,0
comentario_1213387,"Mas se é um homem que fala essas coisas, é massacrado... muitas vezes até pelos próprios homens.",0,0
comentario_1741673,@  caras que não conseguem se comprometer em um relacionamento e depois ficam culpando a sociedade. Assim como as mulheres também fazem. Não é difícil pensar um pouco.,0,1
comentario_843715,"Foi o que eu fiz!! Aos 23 anos meu filho seguiu seu rumo!! Hoje, é bem sucedido!! Não me arrependo de ter sido a mãe do não!! Não pode, não vai, não tem!! Valeu a pena!!",0,0
comentario_1473210,TEM MULHERES SAINDO COM 10 AO MESMO TEMPO CORRAM PARA AS COLINAS!,1,1
comentario_2797118,"Toda história tem dois lados, mas é incrível como sempre é o correto e o justo né…. Todo mundo é errado, aproveitadores e entre diversos outras coisas….",0,0
comentario_1188903,Cara que mulher insuportavel !!!!,0,1
comentario_770830,"a mesma conversinha de sempre""sertanejo faz apologia a bebida""MAS BEBER NAO É CRIME PORRA, puta que pariu... é dificil de entender, é dificil demais",0,1
comentario_1768431,"Ficar sem sexo não tem como é da natureza dos homens, só não precisar casar simples assim.",1,0
comentario_1818233,"""A cada 10 mulheres aqui no Brasil, 8 são bonitas""Acho que ele errou, deve ser o contrário.",1,0
comentario_3012399,"Ricardo esse vídeo não é real , esse rapaz faz parte do grupo 10ocupados, é um canal no YouTube com humoristas baianos . Muito bom por sinal .",0,0
comentario_430437,Precisa ver se tem algum homem que te queira.,0,0
comentario_1141208,"Esse daí é capaz de se churrascar fácil , ainda mais a sociedade que não tem dó de homem nenhum, principalmente quando se expõe de uma forma tão ridicula assim, não é atoa que sertanojo faz tanto sucesso nesse paíszinho mediocre, cheio de emocionados cornos romantizados.",0,1
comentario_2621755,O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0,0
comentario_561255,"Aleluias, toda Honra e Glórias sejam dados ao Senhor Jesus Cristo 🤗",0,0
comentario_2605773,E você vá se vestir igual uma mulher de Respeito.,1,1
comentario_467086,Pelo menos ta investindo em ti Em estudo pagando INSS Tem várias aí que não pensam nisso.Seu futuro está garantido bom fazer uma poupança também,0,0
comentario_2735422,"O cara quando quer ser politicamente correto no relacionamento , só tem uma frase que pode resumir esse comportamento: Quer se lascar?? Se lasque...",0,1
comentario_2222288,"O CARA MARCOU O CASAMENTO SABENDO QUE ELA TEM 7 FILHOS E AGORA ESTÁ PERGUNTANDO O QUE VAI FAZER? NAO É HOMEM, É UM SEM CARÁTER, ESPERO QUE ELE NÃO CASE , ESSA MULHER NAO MERECE ESTE CALHORDA!",0,1
comentario_2264481,"​ ,  terapeuta é coisa de homem, o que todos precisam é de Cristo em suas vidas, Deus é o sentido da vida.",1,0
comentario_2832584,O Carioca só tava enxergando o lado dele... Ele não conseguia enxergar que a mulher não suportava ele...,0,1
comentario_1919939,Resumidamente a melhor definição - mas ela é nova e aprende.,0,0
comentario_345810,Fez naiir escândalo qdo Wanessa tocou no seu pé..,0,0
comentario_1826521,Quando a minha família me pergunta porque me mantenho afastado de brasileiros no exterior…,0,1
comentario_1249401,"O ser humano é patético,  na moral 😅,  a miséria humana,  trepar, comer, cagar, morrer,  apodrecer e feder",0,1
comentario_1249923,"""Casem senhores, eu quero que vcs casem"". (Don Sandro)",0,0
comentario_1690409,Igreja não é lugar de putaria e namoro. Igreja é um lugar de fé e oração. Fiquem solteiros guerreiros,0,0
comentario_2455532,"Agora, vamos e convenhamos...o congresso é majoritariamente masculino e coo esses absurdos passam e viram lei. As mulheres estão na luta, se juntam e conseguem absurdos. Já os homens não se organizam, aceitam tudo,  deixam tudo pra lá...precisam se organizar na vida não só em comentários de internet. Todos os canais Red estão lotados, mas na vida off, nada. E as leis pra vida real vão passando...",1,0
comentario_2491074,O MUNDO HOJE EM DIA NÃO PENSA MAIS DO QUE EM CARNIFICINA.,0,0
